ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.06933071,0.00480962,0.034315325,0.172593467,0.718950878
2,0.511560808,0.003152743,0.024714609,0.261200645,0.199371196
3,0.493624409,0.00223203,0.011921004,0.118260357,0.3739622
4,0.084526958,0.013613289,0.042112825,0.101671199,0.758075729
5,0.461536518,0.001646213,0.015391427,0.349696866,0.171728976
6,0.312479368,0.001421023,0.036381464,0.503982426,0.145735719
7,0.290937369,0.003272597,0.233545432,0.224844761,0.247399841
8,0.701236187,0.001959431,0.007028266,0.05082547,0.238950646
9,0.722561141,0.001151325,0.009163302,0.109328918,0.157795314
10,0.572665029,0.001414213,0.016205161,0.242957541,0.166758056
11,0.689609469,0.000923983,0.004692942,0.115706433,0.189067173
12,0.040713867,0.005752521,0.117161297,0.435258553,0.401113762
13,0.677589534,0.001088484,0.007940592,0.117035795,0.196345595
14,0.467205845,0.00986671,0.042107199,0.063059411,0.417760834
15,0.584656315,0.002511838,0.013415424,0.198835851,0.200580572
16,0.721131051,0.001111371,0.004341761,0.086768992,0.186646825
17,0.300590301,0.00109091,0.030562038,0.44617519,0.22158156
18,0.466593297,0.00299857,0.040492268,0.335251279,0.154664585
19,0.366486664,0.002737063,0.036960912,0.199402891,0.39441247
20,0.007286197,0.015663835,0.278118401,0.012251327,0.68668024
21,0.424095131,0.002750851,0.021564145,0.152541768,0.399048105
22,0.000850555,0.003209961,0.027846322,0.002438669,0.965654493
23,0.625464769,0.002233381,0.00806468,0.203714017,0.160523153
24,0.002159286,0.01927266,0.019772463,0.002182206,0.956613386
25,0.548803955,0.001377122,0.012482113,0.284820494,0.152516316
26,0.37541978,0.006834725,0.041280533,0.023020909,0.553444053
27,0.921171991,0.00105706,0.003158148,0.011435258,0.063177543
28,0.025292151,0.050590081,0.059605597,0.026022827,0.838489343
29,0.36838408,0.001512877,0.032666208,0.42275789,0.174678945
30,0.450341909,0.001606284,0.020133751,0.341214937,0.18670312
31,0.511414516,0.007553068,0.062684481,0.054835962,0.363511973
32,0.886006848,0.000630078,0.002036099,0.042815793,0.068511182
33,0.331744001,0.010082124,0.076312394,0.027478386,0.554383096
34,0.907312025,0.001029553,0.00311063,0.011263203,0.077284588
35,0.331475411,0.015929554,0.033146466,0.021751998,0.597696571
36,0.599985465,0.001349434,0.016461009,0.226024077,0.156180015
37,0.258875749,0.008957699,0.118080381,0.026336942,0.587749229
38,0.906289428,0.000503688,0.002212401,0.023036932,0.067957552
39,0.363525416,0.001526969,0.024593248,0.452121926,0.15823244
