ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.082620084,0.002761462,0.027415654,0.169310883,0.717891932
2,0.494279534,0.003576101,0.025928384,0.303377092,0.172838926
3,0.497590005,0.001890926,0.013016762,0.102482326,0.385019958
4,0.129254669,0.012733492,0.046796594,0.064167269,0.747047961
5,0.426742643,0.001062664,0.00729409,0.399544209,0.165356413
6,0.326721519,0.000908487,0.031342495,0.508771479,0.132256046
7,0.337521642,0.001047603,0.202508003,0.233064368,0.225858405
8,0.699175,0.001874038,0.004143463,0.040493317,0.254314184
9,0.711395383,0.000760736,0.00258987,0.10682366,0.178430334
10,0.625145197,0.000688902,0.017663999,0.158718944,0.197782934
11,0.648436368,0.000578976,0.00174518,0.137620881,0.211618587
12,0.039257944,0.004661703,0.146027446,0.333397597,0.476655304
13,0.695844948,0.000565279,0.003941766,0.061871924,0.237776071
14,0.490186304,0.009920754,0.024984889,0.074157417,0.400750607
15,0.544180155,0.001986933,0.013040205,0.222771242,0.218021467
16,0.679750979,0.000461498,0.001238914,0.131584018,0.186964571
17,0.308052927,0.000624571,0.045714397,0.421894014,0.223714083
18,0.469547659,0.003315689,0.031328905,0.3634049,0.132402897
19,0.380347192,0.003175779,0.039185874,0.170951188,0.406339943
20,0.003796508,0.012553719,0.252506763,0.008040137,0.723102868
21,0.424700201,0.003198025,0.023755986,0.133247659,0.415098161
22,2.04E-05,0.003543606,0.02811791,0.000266661,0.968051434
23,0.632899821,0.003593359,0.01412736,0.184592485,0.16478695
24,7.88E-05,0.019165691,0.024025457,7.17E-05,0.956658363
25,0.540704191,0.001226272,0.008882033,0.306848109,0.142339408
26,0.351446122,0.007049906,0.046642169,0.019672364,0.575189471
27,0.935919285,0.000915778,0.001754202,0.009005077,0.052405655
28,0.038837586,0.053142857,0.037584513,0.023259046,0.847176015
29,0.380624264,0.001305958,0.033206575,0.417974234,0.166888937
30,0.450827956,0.001394996,0.021354042,0.345580429,0.180842638
31,0.493013203,0.003225297,0.0691671,0.06297493,0.371619463
32,0.885577202,0.000447166,0.000946259,0.041341096,0.071688309
33,0.315755099,0.016229616,0.082257539,0.030615022,0.555142701
34,0.916383743,0.000867114,0.001717586,0.007800973,0.07323055
35,0.378006995,0.015253291,0.031341422,0.013597727,0.561800599
36,0.598763704,0.000904989,0.014646841,0.231668159,0.154016331
37,0.236569509,0.012904271,0.148065969,0.02006888,0.582391381
38,0.893211305,0.000339081,0.000741603,0.027913611,0.077794403
39,0.33785522,0.000610501,0.010888911,0.502516925,0.148128465
40,0.699632347,0.003258517,0.013124194,0.035737112,0.248247817
41,0.043431278,0.000763527,0.025037579,0.40523681,0.525530756
42,8.65E-05,0.029869052,0.007202218,6.18E-05,0.962780356
43,0.497590005,0.001890926,0.013016762,0.102482326,0.385019958
44,0.000103906,0.041699193,0.023480315,0.009455143,0.925261438
45,0.279188871,0.013516911,0.073302865,0.02099002,0.613001347
46,0.504212916,0.017952422,0.053558949,0.065046951,0.35922879
47,0.380347192,0.003175779,0.039185874,0.170951188,0.406339943
48,0.538581967,0.000906368,0.039165664,0.205117315,0.216228664
49,0.385268003,0.000865069,0.034793831,0.404206902,0.174866155
50,0.055717453,0.004437942,0.021181969,0.233883262,0.684779406
51,0.231115863,0.010979352,0.049342971,0.097051427,0.611510396
52,0.256932795,0.001709336,0.030122049,0.610287368,0.100948431
53,0.916383743,0.000867114,0.001717586,0.007800973,0.07323055
54,0.220233932,0.055161368,0.0700339,0.004207662,0.650363147
55,0.008368194,0.006793425,0.266129911,0.021692051,0.697016418
56,0.458520174,0.004234124,0.071107551,0.186024174,0.280113935
57,0.692222059,0.00078248,0.004794192,0.16493468,0.137266591
58,3.40E-05,0.009895575,0.043186996,2.96E-05,0.946853817
59,0.003397442,0.022521067,0.206964344,0.006967965,0.760149181
60,0.88912791,0.0002416,0.000507424,0.042227529,0.067895532
61,0.47167936,0.011862143,0.0588319,0.05842245,0.399204105
62,0.432690144,0.000478322,0.058556877,0.305163294,0.203111365
63,0.613640368,0.001318826,0.01171071,0.207241192,0.166088879
64,5.22E-05,0.012413236,0.011795762,0.000495659,0.975243211
65,0.017557874,0.02453343,0.120103605,0.009749227,0.828055859
66,0.588570237,0.000967969,0.007637096,0.244935423,0.157889262
67,0.855693638,0.001103374,0.002173366,0.012649553,0.128380045
68,0.146231949,0.001314689,0.182013601,0.271800935,0.398638785
69,0.482966155,0.001585137,0.023720875,0.325846732,0.165881082
70,0.003985069,0.008773764,0.106093779,0.007757269,0.873390079
71,0.005608398,0.012828376,0.085178114,0.029926078,0.866459012
72,0.914960921,0.000317548,0.000536075,0.024455214,0.059730183
73,3.40E-05,0.009895575,0.043186996,2.96E-05,0.946853817
74,0.498843193,0.00126232,0.013840559,0.31624043,0.169813469
75,6.06E-05,0.008547502,0.016243931,0.000753152,0.974394739
76,0.367431551,0.00929892,0.040367518,0.057849143,0.525052845
77,0.935919285,0.000915778,0.001754202,0.009005077,0.052405655
78,0.236569509,0.012904271,0.148065969,0.02006888,0.582391381
79,0.437879443,0.00052822,0.01804826,0.395964026,0.147579998
80,0.95245105,0.001363417,0.002707005,0.000751553,0.042726967
81,7.87E-05,0.130264103,0.006550717,5.62E-05,0.863050282
82,3.40E-05,0.009895575,0.043186996,2.96E-05,0.946853817
83,0.529796422,0.001201534,0.008702853,0.297230005,0.163069218
84,7.96E-05,0.030878067,0.017979572,0.006786928,0.944275916
85,0.437912762,0.002085687,0.042215545,0.378028274,0.139757663
86,0.033393621,0.026595313,0.143369585,0.010166461,0.786475062
87,0.039257944,0.004661703,0.146027446,0.333397597,0.476655304
88,0.625145197,0.000688902,0.017663999,0.158718944,0.197782934
89,0.003985069,0.008773764,0.106093779,0.007757269,0.873390079
90,0.910428882,0.000402494,0.001198736,0.041264545,0.046705343
91,0.004148082,0.005437333,0.514566481,0.008223061,0.467625082
92,0.004630003,0.012365159,0.306448489,0.008858283,0.667698085
93,0.898723304,0.000450416,0.00223205,0.031913139,0.066681065
94,0.405635893,0.001040463,0.021217467,0.415760815,0.156345323
95,0.279188871,0.013516911,0.073302865,0.02099002,0.613001347
96,0.451653808,0.001397552,0.021393159,0.344381571,0.181173921
97,0.380624264,0.001305958,0.033206575,0.417974234,0.166888937
98,5.22E-05,0.012413236,0.011795762,0.000495659,0.975243211
99,0.4465096,0.018797308,0.037021127,0.016144997,0.48152703
100,0.326721519,0.000908487,0.031342495,0.508771479,0.132256046
101,0.916383743,0.000867114,0.001717586,0.007800973,0.07323055
102,0.497590005,0.001890926,0.013016762,0.102482326,0.385019958
103,0.441856205,0.002631283,0.021251654,0.371816278,0.162444621
104,0.539568603,0.000860923,0.011674944,0.27586174,0.172033772
105,0.497590005,0.001890926,0.013016762,0.102482326,0.385019958
106,0.539568603,0.000860923,0.011674944,0.27586174,0.172033772
107,0.357566923,0.000987319,0.011132671,0.478868574,0.151444465
108,0.091689534,0.001832841,0.088435359,0.380019367,0.438022852
109,0.963190019,0.000697381,0.002287935,0.003184457,0.030640228
110,0.514261425,0.000806506,0.022151122,0.308854848,0.153926089
111,0.30872345,0.000556309,0.030855592,0.530813277,0.129051387
112,0.625145197,0.000688902,0.017663999,0.158718944,0.197782934
113,0.37748602,0.00127715,0.01939705,0.394855797,0.206984028
114,0.422630429,0.003390536,0.040834013,0.371608466,0.16153653
